Date,returns,Volume,Volume_lag_1,volatility_lag_10,SMA_10,SMA_20,RSI_14,Lag_1,Lag_2,Lag_3,UNRATE,CPI
2010-02-03,-0.00547431142933863,4285450000.0,4749540000.0,0.01276089525689266,-0.004081652868284413,-0.0012738983220816126,56.09043666140509,0.01297294837718499,0.014266108894671836,-0.009829173828039273,9.8,1.048684
2010-02-04,-0.031140677888039425,5859690000.0,4285450000.0,0.012571652078101497,-0.0035693010449212026,-0.0017033976748397073,46.25519310856979,-0.00547431142933863,0.01297294837718499,0.014266108894671836,9.8,1.048684
2010-02-05,0.002897118921960873,6438900000.0,5859690000.0,0.014648913140389307,-0.004788878494746307,-0.0032877076007471863,41.77378471709258,-0.031140677888039425,-0.00547431142933863,0.01297294837718499,9.8,1.048684
2010-02-08,-0.00886329049344714,4089820000.0,6438900000.0,0.013443726531914078,-0.0022850677261201714,-0.003342911748357974,53.05147445672964,0.002897118921960873,-0.031140677888039425,-0.00547431142933863,9.8,1.048684
2010-02-09,0.013040132316577413,5114260000.0,4089820000.0,0.013351563344672262,-0.0036312065767350023,-0.003930162637601769,44.99113525309729,-0.00886329049344714,0.002897118921960873,-0.031140677888039425,9.8,1.048684
2010-02-10,-0.0022325735201887964,4251450000.0,5114260000.0,0.01434592977026554,-0.0019068733877091626,-0.0033654937933547736,55.57349107784614,0.013040132316577413,-0.00886329049344714,0.002897118921960873,9.8,1.048684
2010-02-11,0.009680437561949251,4400870000.0,4251450000.0,0.014146984704748128,-0.0026181459608225375,-0.0030080641619460004,53.81590210610745,-0.0022325735201887964,0.013040132316577413,-0.00886329049344714,9.8,1.048684
2010-02-12,-0.002744592819371894,4160680000.0,4400870000.0,0.014226891698777758,-0.00046832810867089016,-0.0029403385667750915,56.987589056334016,0.009680437561949251,-0.0022325735201887964,0.013040132316577413,9.8,1.048684
2010-02-16,0.01800074864554846,4080770000.0,4160680000.0,0.013881149673501238,0.00024012999219584773,-0.0031988894796624147,48.27947800534538,-0.002744592819371894,0.009680437561949251,-0.0022325735201887964,9.8,1.048684
2010-02-17,0.0042379594555796984,4259230000.0,4080770000.0,0.014342995130002674,0.00061359396728351,-0.001757695539391524,54.92699323104375,0.01800074864554846,-0.002744592819371894,0.009680437561949251,9.8,1.048684
2010-02-18,0.006584742448973557,3878620000.0,4259230000.0,0.013760838008681936,-0.0002599049248770191,-0.0021707788965807163,49.860398364276186,0.0042379594555796984,0.01800074864554846,-0.002744592819371894,9.8,1.048684
2010-02-19,0.002186622042297248,3944280000.0,3878620000.0,0.013781481329609001,0.0009460004629541996,-0.0013116502909835015,54.266591007547525,0.006584742448973557,0.0042379594555796984,0.01800074864554846,9.8,1.048684
2010-02-22,-0.0010458578339902491,3814440000.0,3944280000.0,0.007960153341512965,0.004278730455987867,-0.00025507401937922,52.75506367938605,0.002186622042297248,0.006584742448973557,0.0042379594555796984,9.8,1.048684
2010-02-23,-0.012102809596931441,4521050000.0,3814440000.0,0.008131994797237082,0.003884432780392755,0.0007996825271362918,46.117747571268396,-0.0010458578339902491,0.002186622042297248,0.006584742448973557,9.8,1.048684
2010-02-24,0.00972045942422195,4168360000.0,4521050000.0,0.008738179801584324,0.0035604808700443248,-3.536285334533873e-05,43.94213085194058,-0.012102809596931441,-0.0010458578339902491,0.002186622042297248,9.8,1.048684
2010-02-25,-0.002081040179913507,4521130000.0,4168360000.0,0.008394320815833984,0.0032285135808087784,0.0006608200965498079,53.611877771514074,0.00972045942422195,-0.012102809596931441,-0.0010458578339902491,9.8,1.048684
2010-02-26,0.0014053791778985136,3945190000.0,4521130000.0,0.008383496951420492,0.0032436669148363075,0.0003127604770068848,57.39507718160434,-0.002081040179913507,0.00972045942422195,-0.012102809596931441,9.8,1.048684
2010-03-01,0.01015850827289455,3847640000.0,3945190000.0,0.008080475897182915,0.0024161610764312337,0.0009739164838801717,49.55048646174704,0.0014053791778985136,-0.002081040179913507,0.00972045942422195,9.9,0.9255024
2010-03-02,0.0023304422719907514,4134680000.0,3847640000.0,0.008194228145349884,0.003706471185657878,0.001973300588926863,55.837738617959204,0.01015850827289455,0.0014053791778985136,-0.002081040179913507,9.9,0.9255024
2010-03-03,0.00042920160206150193,3951320000.0,4134680000.0,0.006474905502263622,0.002139440548302107,0.0013765172577928086,46.40241621952174,0.0023304422719907514,0.01015850827289455,0.0014053791778985136,9.9,0.9255024
2010-03-04,0.0037361180334851696,3945010000.0,3951320000.0,0.006449720781032622,0.0017585647629502876,0.0007493299190366343,50.98239239640734,0.00042920160206150193,0.0023304422719907514,0.01015850827289455,9.9,0.9255024
2010-03-05,0.014007480947064943,4133000000.0,3945010000.0,0.006273377108900039,0.0014737023214014488,0.0012098513921778241,47.65728243933886,0.0037361180334851696,0.00042920160206150193,0.0023304422719907514,9.9,0.9255024
2010-03-08,-0.00017559601339156572,3774680000.0,4133000000.0,0.007429755676693948,0.002655788211878218,0.0034672593339330426,56.7161763031881,0.014007480947064943,0.0037361180334851696,0.00042920160206150193,9.9,0.9255024
2010-03-09,0.0017127370855292146,5185570000.0,3774680000.0,0.007386551160024,0.0027428143939380867,0.003313623587165421,42.30807408418958,-0.00017559601339156572,0.014007480947064943,0.0037361180334851696,9.9,0.9255024
2010-03-10,0.00452455995494172,5469120000.0,5185570000.0,0.005298131923679014,0.004124369062184152,0.0038424249661142386,48.81196920848589,0.0017127370855292146,-0.00017559601339156572,0.014007480947064943,9.9,0.9255024
